,gamma_2.5,gamma_2.5,gamma_3.1,gamma_3.1,gamma_3.5,gamma_3.5,gamma_4,gamma_4,ER_1.5,ER_1.5,ER_2,ER_2,ER_6,ER_6
,Markovian,Non-Markovian,Markovian,Non-Markovian,Markovian,Non-Markovian,Markovian,Non-Markovian,Markovian,Non-Markovian,Markovian,Non-Markovian,Markovian,Non-Markovian
2018-05-01,3860,3881,3070,2723,2907,428,213,272,138,225,647,620,4985,4978
2018-05-02,3861,3883,3077,2740,2913,432,214,277,140,226,651,630,4985,4979
2018-05-03,3864,3883,3085,2754,2919,439,219,285,141,227,660,640,4985,4979
2018-05-04,3864,3884,3088,2762,2922,447,227,289,144,228,671,653,4985,4979
2018-05-05,3864,3884,3093,2775,2927,459,229,291,145,230,679,663,4985,4979
2018-05-06,3866,3884,3101,2785,2931,475,232,297,146,235,690,671,4985,4979
2018-05-07,3866,3886,3106,2795,2936,483,235,303,146,238,698,682,4985,4979
2018-05-08,3867,3886,3112,2805,2942,488,237,305,147,240,707,690,4985,4979
2018-05-09,3867,3887,3115,2822,2945,503,240,311,148,241,717,704,4985,4979
2018-05-10,3867,3888,3122,2832,2946,517,243,315,150,243,727,712,4985,4979
2018-05-11,3867,3889,3123,2843,2952,530,248,319,153,243,738,720,4985,4980
2018-05-12,3868,3890,3125,2851,2956,545,252,320,154,243,753,732,4985,4980
2018-05-13,3868,3890,3129,2860,2957,562,254,322,155,244,759,744,4985,4980
2018-05-14,3868,3890,3137,2871,2962,572,259,324,157,245,768,756,4985,4980
2018-05-15,3868,3891,3138,2883,2969,581,263,332,159,248,777,764,4985,4980
2018-05-16,3870,3891,3142,2892,2970,588,265,335,161,249,787,774,4985,4980
2018-05-17,3871,3891,3147,2898,2972,597,271,336,161,250,800,783,4985,4981
2018-05-18,3872,3894,3151,2902,2976,607,274,340,163,253,808,788,4985,4981
2018-05-19,3873,3896,3157,2910,2983,620,275,345,163,256,814,792,4985,4981
2018-05-20,3873,3897,3161,2918,2987,626,278,348,165,256,822,798,4985,4982
2018-05-21,3874,3897,3166,2925,2989,645,280,352,165,258,834,804,4985,4982
2018-05-22,3874,3897,3168,2936,2990,657,280,359,167,261,848,820,4985,4982
2018-05-23,3875,3897,3177,2944,2994,671,286,367,168,262,863,831,4985,4982
2018-05-24,3875,3897,3181,2955,2996,682,289,369,169,264,872,837,4985,4982
2018-05-25,3875,3897,3185,2960,2999,693,290,373,170,265,884,849,4985,4982
2018-05-26,3875,3897,3190,2970,3000,705,296,376,172,266,897,858,4985,4982
2018-05-27,3876,3897,3198,2978,3001,718,298,380,172,266,907,869,4985,4982
2018-05-28,3876,3897,3201,2993,3004,734,305,385,175,267,921,880,4985,4982
2018-05-29,3877,3897,3203,2997,3010,747,308,386,175,267,935,888,4985,4982
2018-05-30,3877,3897,3206,3004,3010,759,311,391,177,268,946,901,4985,4982
2018-05-31,3879,3898,3209,3013,3014,772,316,393,178,272,963,909,4985,4982
2018-06-01,3879,3898,3214,3018,3017,788,319,396,179,276,984,919,4985,4982
2018-06-02,3879,3898,3216,3027,3018,802,324,402,180,281,996,939,4985,4982
2018-06-03,3879,3898,3222,3038,3021,817,329,406,180,283,1010,947,4985,4982
2018-06-04,3879,3898,3224,3043,3021,830,341,409,181,286,1022,956,4985,4982
2018-06-05,3879,3898,3227,3049,3024,846,347,414,182,287,1039,967,4985,4982
2018-06-06,3880,3898,3229,3059,3027,858,350,418,184,291,1050,976,4985,4982
2018-06-07,3881,3898,3230,3067,3027,877,354,425,188,292,1067,988,4985,4983
2018-06-08,3881,3899,3233,3071,3031,893,363,427,190,296,1077,1000,4985,4983
2018-06-09,3881,3899,3236,3079,3034,906,371,434,193,297,1093,1009,4985,4984
2018-06-10,3881,3900,3238,3089,3035,919,376,442,195,302,1111,1022,4985,4984
2018-06-11,3882,3901,3240,3094,3037,933,383,445,197,307,1129,1036,4985,4984
2018-06-12,3882,3901,3242,3101,3037,944,389,453,200,307,1147,1050,4985,4984
2018-06-13,3883,3901,3244,3105,3039,954,397,458,201,309,1163,1061,4985,4984
2018-06-14,3884,3902,3249,3111,3043,962,404,462,202,309,1177,1067,4985,4984
2018-06-15,3884,3902,3250,3120,3046,974,407,468,203,312,1200,1086,4985,4984
2018-06-16,3884,3902,3252,3123,3046,992,416,476,204,313,1215,1093,4985,4984
2018-06-17,3884,3902,3257,3128,3048,1006,422,482,206,314,1227,1100,4985,4984
2018-06-18,3884,3902,3262,3136,3050,1016,428,490,209,316,1242,1110,4985,4984
2018-06-19,3884,3902,3263,3140,3052,1031,440,494,209,319,1261,1121,4985,4984
2018-06-20,3885,3903,3265,3145,3052,1046,443,501,211,319,1273,1138,4985,4984
2018-06-21,3885,3903,3267,3152,3052,1062,449,508,211,322,1288,1151,4985,4984
2018-06-22,3885,3904,3269,3156,3054,1073,452,513,213,323,1303,1161,4985,4984
2018-06-23,3886,3904,3270,3162,3056,1086,457,518,215,326,1318,1173,4985,4984
2018-06-24,3886,3904,3275,3164,3059,1097,465,525,215,329,1331,1178,4985,4985
2018-06-25,3888,3904,3275,3166,3060,1114,472,534,216,331,1342,1197,4985,4985
2018-06-26,3888,3904,3277,3171,3065,1130,477,537,217,334,1351,1219,4985,4985
2018-06-27,3889,3904,3279,3175,3066,1149,488,544,219,337,1366,1239,4985,4985
2018-06-28,3889,3904,3280,3179,3067,1171,494,552,219,338,1378,1253,4985,4985
