,gamma_2.5,gamma_2.5,gamma_2.5,gamma_3,gamma_3,gamma_3,gamma_4,gamma_4,gamma_4,ER_2.5,ER_2.5,ER_2.5,ER_5,ER_5,ER_5,ER_10,ER_10,ER_10
,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution
2019-06-14,795,795,795,713,713,712,466,494,564,913,910,913,993,993,993,1000,1000,1000
2019-06-15,795,795,795,713,713,712,469,495,564,913,910,913,993,993,993,1000,1000,1000
2019-06-16,795,795,795,713,713,712,472,499,564,913,910,913,993,993,993,1000,1000,1000
2019-06-17,795,795,795,713,713,712,476,502,564,913,910,913,993,993,993,1000,1000,1000
2019-06-18,795,795,795,713,713,712,478,504,564,913,910,913,993,993,993,1000,1000,1000
2019-06-19,795,795,795,713,713,712,478,506,565,913,910,913,993,993,993,1000,1000,1000
2019-06-20,795,795,795,713,713,712,479,507,565,913,910,913,993,993,993,1000,1000,1000
2019-06-21,795,795,795,713,713,712,481,507,566,913,910,913,993,993,993,1000,1000,1000
2019-06-22,795,795,795,713,713,712,484,511,567,913,910,913,993,993,993,1000,1000,1000
2019-06-23,795,795,795,713,713,712,485,513,567,913,910,913,993,993,993,1000,1000,1000
2019-06-24,795,795,795,713,713,712,485,513,567,913,910,913,993,993,993,1000,1000,1000
2019-06-25,795,795,795,713,713,712,486,515,567,913,910,913,993,993,993,1000,1000,1000
2019-06-26,795,795,795,713,713,712,491,517,567,913,910,913,993,993,993,1000,1000,1000
2019-06-27,795,795,795,713,713,712,496,520,567,913,910,913,993,993,993,1000,1000,1000
2019-06-28,795,795,795,713,713,712,497,522,567,913,910,913,993,993,993,1000,1000,1000
2019-06-29,795,795,795,713,713,712,500,523,567,913,910,913,993,993,993,1000,1000,1000
2019-06-30,795,795,795,713,713,712,504,524,567,913,910,913,993,993,993,1000,1000,1000
2019-07-01,795,795,795,713,713,712,505,526,567,913,910,913,993,993,993,1000,1000,1000
2019-07-02,795,795,795,713,713,712,507,526,567,913,910,913,993,993,993,1000,1000,1000
2019-07-03,795,795,795,713,713,712,510,526,567,913,910,913,993,993,993,1000,1000,1000
2019-07-04,795,795,795,713,713,712,513,529,567,913,910,913,993,993,993,1000,1000,1000
2019-07-05,795,795,795,713,713,712,514,532,567,913,910,913,993,993,993,1000,1000,1000
2019-07-06,795,795,795,713,713,712,519,533,567,913,910,913,993,993,993,1000,1000,1000
2019-07-07,795,795,795,713,713,712,520,534,567,913,910,913,993,993,993,1000,1000,1000
2019-07-08,795,795,795,713,713,712,521,534,567,913,910,913,993,993,993,1000,1000,1000
2019-07-09,795,795,795,713,713,712,524,536,567,913,910,913,993,993,993,1000,1000,1000
